Geography Identifier,geography, total_population_2010, total_population_under_5_years_all_races_2010, percent_under_5_all_races_2010, total_under_18_all_2010, percent_under_18_2010_all_races, total_65_and_over_2010_all_races, percent_65_and_over_all_races_2010, total_population_black_2010, total_black_under_5_2010, total_black_under_18_2010, total_black_65_and_over_2010, percent_black_under_5_2010, percent_black_under_18_2010, percent_black_65_plus_2010, total_population_asian_2010, total_asian_under_5_2010, total_asian_under_18_2010, total_asian_65_and_over_2010, percent_asian_under_5_2010, percent_asian_under_18_2010, percent_asian_65_plus_2010, total_population_two_or_more_races_2010, total_two_or_more_under_5_2010, total_two_or_more_under_18_2010, total_two_or_more_65_and_over_2010, percent_two_or_more_under_5_2010, percent_two_or_more_under_2010_18_2010, percent_two_or_more_2010_65_plus_2010, total_population_Latino_2010, total_latino_under_5_2010, total_latino_under_18_2010, total_latino_65_and_over_2010, total_latino_under_5_2010, total_latino_under_18_2010, total_latino_65_plus_2010, total_population_white_2010, total_white_under_5_2010, total_white_under_18_2010, total_white_65_and_over_2010, percent_white_under_5_2010, percent_white_under_18_2010, total_white_65_plus_2010, total_population_black_2000, total_black_under_5_2000, total_black_under_18_2000, total_black_65_and_over_2000, percent_under_5_black_2000, percent_5_under_18_black_2000, total_65_and_over_black_2000, total_population_Asian_2000, total_under_5_Asian_2000, total_asian_under_18_2000, total_65_and_over_asian_2000, percent_under_5_asian_2000, percent_under_18_asian_2000, percent_65_plus_asian_2000, total_population_two_or_more_races_2000, total_two_or_more_under_5_total_2000, total_two_or_more_under_18_2000, total_65_and_over_two_or_more_races_2000, percent_two_or_more_under_5_2000, percent_two_or_more_races_under_18_2000, percent_two_or_more_65_plus_2000, total_population_latino_2000, totalunder_5_latino_2000, total_latino_under_18_2000, total_65_and_over_latino_2000, percent_under_5_latino_2000, percent_under_18_latino_2000, percent_65_plus_latino_2000, total_population_white_2000, totalunder_5_white_2000, total_white_under_18_2000, total_65_and_over_white_2000, percent_under_5_white_2000, percent_under_18_white_2000, percent_white_65_plus_2000,
8059,"Jefferson County, Colorado",   534543,30411,5.7%,119090,22.3%,67411,12.6%,5667,395,1584,298,7.00%,28.00%,5.30%,14037,792,3388,1248,5.60%,24.10%,8.90%,14546,2205,6868,500,15.20%,47.20%,3.40%,76445,7513,26353,4183,9.80%,34.50%,5.50%,427160,20415,83380,61161,4.80%,19.50%,14.30%,4677,359,1421,161,7.70%,30.40%,3.40%,12036,913,3343,732,7.60%,27.80%,6.10%,11466,1742,11132,361,15.20%,97.10%,3.10%,52449,5619,18419,1935,10.70%,35.10%,3.70%,447416,25132,106217,47613,5.60%,23.70%,10.60%
8061,"Kiowa County, Colorado",     1398,70,5.0%,314,22.5%,300,21.5%,4,0,4,0,0.00%,100.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,21,4,8,1,19.00%,38.10%,4.80%,78,8,37,6,10.30%,47.40%,7.70%,1304,62,272,293,4.80%,20.90%,22.50%,8,2,7,0,25.00%,87.50%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,13,0,7,1,0.00%,53.80%,7.70%,51,4,16,1,7.80%,31.40%,2.00%,1530,90,388,282,5.90%,25.40%,18.40%
8063,"Kit Carson County, Colorado",     8270,550,6.7%,1839,22.2%,1322,16.0%,225,3,9,2,1.30%,4.00%,0.90%,36,5,9,3,13.90%,25.00%,8.30%,113,13,46,6,11.50%,40.70%,5.30%,1574,174,534,50,11.10%,33.90%,3.20%,6320,358,1249,1261,5.70%,19.80%,20.00%,139,0,1,1,0.00%,0.70%,0.70%,26,1,12,0,3.80%,46.20%,0.00%,73,8,78,5,11.00%,106.80%,6.80%,1095,121,414,28,11.10%,37.80%,2.60%,6678,365,1688,1134,5.50%,25.30%,17.00%
8065,"Lake County, Colorado",    51334,562,7.7%,10512,20.5%,647,8.9%,27,1,6,2,3.70%,22.20%,7.40%,33,3,6,2,9.10%,18.20%,6.10%,263,29,100,4,11.00%,38.00%,1.50%,2858,353,1104,132,12.40%,38.60%,4.60%,4252,191,667,507,4.50%,15.70%,11.90%,14,1,7,0,7.10%,50.00%,0.00%,24,2,11,1,8.30%,45.80%,4.20%,205,26,182,4,12.70%,88.80%,2.00%,2823,355,1086,83,12.60%,38.50%,2.90%,4809,246,961,423,5.10%,20.00%,8.80%
8067,"La Plata County, Colorado",     7310,2898,5.6%,1822,24.9%,5979,11.6%,204,18,44,14,8.80%,21.60%,6.90%,286,15,52,15,5.20%,18.20%,5.20%,1600,214,646,82,13.40%,40.40%,5.10%,6056,614,1941,440,10.10%,32.10%,7.30%,41245,1969,7558,5329,4.80%,18.30%,12.90%,136,6,25,5,4.40%,18.40%,3.70%,177,11,29,7,6.20%,16.40%,4.00%,989,128,913,36,12.90%,92.30%,3.60%,4571,380,1505,364,8.30%,32.90%,8.00%,36168,1619,7558,3655,4.50%,20.90%,10.10%
8069,"Larimer County, Colorado",   299630,17554,5.9%,64057,21.4%,35541,11.9%,2500,158,636,76,6.30%,25.40%,3.00%,5800,354,1382,346,6.10%,23.80%,6.00%,7905,1166,3564,223,14.80%,45.10%,2.80%,31628,3505,11340,1386,11.10%,35.90%,4.40%,253047,12758,48158,33482,5.00%,19.00%,13.20%,1650,131,452,30,7.90%,27.40%,1.80%,3917,314,918,167,8.00%,23.40%,4.30%,5515,844,5256,166,15.30%,95.30%,3.00%,20811,2241,7303,738,10.80%,35.10%,3.50%,220159,12013,49252,22923,5.50%,22.40%,10.40%
8071,"Las Animas County, Colorado",    15507,869,5.6%,3241,20.9%,2748,17.7%,218,6,31,4,2.80%,14.20%,1.80%,110,6,31,7,5.50%,28.20%,6.40%,531,58,189,51,10.90%,35.60%,9.60%,6446,474,1744,939,7.40%,27.10%,14.60%,8399,358,1340,1769,4.30%,16.00%,21.10%,60,5,11,4,8.30%,18.30%,6.70%,57,5,12,8,8.80%,21.10%,14.00%,582,50,465,61,8.60%,79.90%,10.50%,6304,431,1801,982,6.80%,28.60%,15.60%,8387,383,1738,1707,4.60%,20.70%,20.40%
8073,"Lincoln County, Colorado",     5467,304,5.6%,1120,20.5%,918,16.8%,290,3,22,8,1.00%,7.60%,2.80%,43,0,4,2,0.00%,9.30%,4.70%,104,11,49,5,10.60%,47.10%,4.80%,683,54,152,22,7.90%,22.30%,3.20%,4345,243,904,880,5.60%,20.80%,20.30%,302,3,12,4,1.00%,4.00%,1.30%,34,0,8,2,0.00%,23.50%,5.90%,95,10,89,5,10.50%,93.70%,5.30%,519,34,127,12,6.60%,24.50%,2.30%,5126,264,1270,846,5.20%,24.80%,16.50%
8075,"Logan County, Colorado",    22709,1178,5.2%,4542,20.0%,3321,14.6%,900,16,61,14,1.80%,6.80%,1.60%,127,4,21,6,3.10%,16.50%,4.70%,346,35,171,12,10.10%,49.40%,3.50%,3551,269,958,149,7.60%,27.00%,4.20%,17754,871,3394,3132,4.90%,19.10%,17.60%,420,11,38,2,2.60%,9.00%,0.50%,82,8,18,7,9.80%,22.00%,8.50%,293,50,292,10,17.10%,99.70%,3.40%,2439,260,839,96,10.70%,34.40%,3.90%,17310,986,4071,2849,5.70%,23.50%,16.50%
8077,"Mesa County, Colorado",   146723,9959,6.8%,34517,23.5%,21872,14.9%,935,71,284,39,7.60%,30.40%,4.20%,1121,62,242,92,5.50%,21.60%,8.20%,3893,608,1827,184,15.60%,46.90%,4.70%,19552,2264,7291,1115,11.60%,37.30%,5.70%,121944,7252,25608,20409,5.90%,21.00%,16.70%,537,54,191,19,10.10%,35.60%,3.50%,618,40,157,53,6.50%,25.40%,8.60%,2319,302,2128,154,13.00%,91.80%,6.60%,11651,1344,4347,714,11.50%,37.30%,6.10%,101110,5644,23550,16671,5.60%,23.30%,16.50%
8079,"Mineral County, Colorado",      712,20,2.8%,101,14.2%,164,23.0%,2,0,0,0,0.00%,0.00%,0.00%,1,0,0,0,0.00%,0.00%,0.00%,10,3,8,0,30.00%,80.00%,0.00%,21,1,8,2,4.80%,38.10%,9.50%,678,17,88,162,2.50%,13.00%,23.90%,0,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0.00%,0.00%,0.00%,18,4,17,0,22.20%,94.40%,0.00%,17,3,6,2,17.60%,35.30%,11.80%,793,31,157,141,3.90%,19.80%,17.80%
8081,"Moffat County, Colorado",    13795,1080,7.8%,3733,27.1%,1454,10.5%,42,3,14,2,7.10%,33.30%,4.80%,77,3,14,8,3.90%,18.20%,10.40%,306,39,127,13,12.70%,41.50%,4.20%,1985,247,750,65,12.40%,37.80%,3.30%,11412,791,2850,1361,6.90%,25.00%,11.90%,28,1,11,0,3.60%,39.30%,0.00%,44,4,17,3,9.10%,38.60%,6.80%,234,33,260,6,14.10%,111.10%,2.60%,1247,119,400,61,9.50%,32.10%,4.90%,11626,750,3228,1163,6.50%,27.80%,10.00%
8083,"Montezuma County, Colorado",    25535,1613,6.3%,5999,23.5%,4269,16.7%,58,2,23,3,3.40%,39.70%,5.20%,121,8,36,6,6.60%,29.80%,5.00%,675,118,356,44,17.50%,52.70%,6.50%,2818,311,1040,261,11.00%,36.90%,9.30%,19168,963,3711,3823,5.00%,19.40%,19.90%,33,3,10,3,9.10%,30.30%,9.10%,48,4,13,3,8.30%,27.10%,6.30%,568,98,579,37,17.30%,101.90%,6.50%,2263,251,854,172,11.10%,37.70%,7.60%,18476,1062,4486,2999,5.70%,24.30%,16.20%
8085,"Montrose County, Colorado",    41276,2640,6.4%,10179,24.7%,7349,17.8%,162,19,57,10,11.70%,35.20%,6.20%,255,16,59,19,6.30%,23.10%,7.50%,1000,132,469,64,13.20%,46.90%,6.40%,8127,951,3209,423,11.70%,39.50%,5.20%,31989,1593,6568,6828,5.00%,20.50%,21.30%,102,6,42,6,5.90%,41.20%,5.90%,140,10,51,5,7.10%,36.40%,3.60%,833,122,777,35,14.60%,93.30%,4.20%,4967,618,1965,223,12.40%,39.60%,4.50%,27554,1565,6680,4823,5.70%,24.20%,17.50%
8087,"Morgan County, Colorado",    28159,2164,7.7%,7875,28.0%,3965,14.1%,808,129,282,12,16.00%,34.90%,1.50%,140,13,29,14,9.30%,20.70%,10.00%,664,87,323,36,13.10%,48.60%,5.40%,9506,1102,3820,466,11.60%,40.20%,4.90%,17370,883,3614,3445,5.10%,20.80%,19.80%,91,19,43,2,20.90%,47.30%,2.20%,47,0,11,6,0.00%,23.40%,12.80%,675,99,647,30,14.70%,95.90%,4.40%,8473,1183,3538,283,14.00%,41.80%,3.30%,18191,1073,4511,3225,5.90%,24.80%,17.70%
8089,"Otero County, Colorado",    18831,1179,6.3%,4660,24.7%,3458,18.4%,143,11,41,11,7.70%,28.70%,7.70%,143,8,37,28,5.60%,25.90%,19.60%,718,95,327,63,13.20%,45.50%,8.80%,7596,682,2464,931,9.00%,32.40%,12.30%,10639,469,2032,2448,4.40%,19.10%,23.00%,154,15,60,11,9.70%,39.00%,7.10%,142,8,27,42,5.60%,19.00%,29.60%,601,82,549,47,13.60%,91.30%,7.80%,7642,683,2614,767,8.90%,34.20%,10.00%,12014,585,2622,2493,4.90%,21.80%,20.80%
8091,"Ouray County, Colorado",     4436,182,4.1%,797,18.0%,777,17.5%,7,0,4,0,0.00%,57.10%,0.00%,25,1,8,1,4.00%,32.00%,4.00%,60,5,21,9,8.30%,35.00%,15.00%,196,17,59,9,8.70%,30.10%,4.60%,4143,161,708,758,3.90%,17.10%,18.30%,3,0,0,0,0.00%,0.00%,0.00%,13,1,5,0,7.70%,38.50%,0.00%,64,3,55,4,4.70%,85.90%,6.30%,152,17,50,11,11.20%,32.90%,7.20%,3487,158,753,443,4.50%,21.60%,12.70%
8093,"Park County, Colorado",    16206,795,4.9%,3108,19.2%,1881,11.6%,69,4,17,5,5.80%,24.60%,7.20%,103,2,20,12,1.90%,19.40%,11.70%,383,49,169,19,12.80%,44.10%,5.00%,783,67,236,53,8.60%,30.10%,6.80%,14842,670,2694,1785,4.50%,18.20%,12.00%,72,6,22,4,8.30%,30.60%,5.60%,60,2,26,2,3.30%,43.30%,3.30%,267,28,231,14,10.50%,86.50%,5.20%,628,43,219,32,6.80%,34.90%,5.10%,13431,753,3046,1005,5.60%,22.70%,7.50%
8095,"Phillips County, Colorado",     4442,280,6.3%,1122,25.3%,919,20.7%,18,1,7,0,5.60%,38.90%,0.00%,26,1,5,2,3.80%,19.20%,7.70%,60,6,27,4,10.00%,45.00%,6.70%,830,90,325,27,10.80%,39.20%,3.30%,3526,186,771,884,5.30%,21.90%,25.10%,9,2,5,1,22.20%,55.60%,11.10%,18,1,5,1,5.60%,27.80%,5.60%,60,10,68,3,16.70%,113.30%,5.00%,527,90,224,16,17.10%,42.50%,3.00%,3865,208,945,844,5.40%,24.50%,21.80%
8097,"Pitkin County, Colorado",    17148,758,4.4%,2999,17.5%,1964,11.5%,93,9,24,2,9.70%,25.80%,2.20%,207,4,26,15,1.90%,12.60%,7.20%,241,23,75,3,9.50%,31.10%,1.20%,1561,109,419,31,7.00%,26.80%,2.00%,15067,619,2475,1909,4.10%,16.40%,12.70%,79,2,19,2,2.50%,24.10%,2.50%,167,10,30,2,6.00%,18.00%,1.20%,199,18,158,2,9.00%,79.40%,1.00%,973,93,250,7,9.60%,25.70%,0.70%,13479,504,2149,1001,3.70%,15.90%,7.40%
8099,"Prowers County, Colorado",    12551,967,7.7%,3404,27.1%,1835,14.6%,64,6,17,1,9.40%,26.60%,1.60%,38,4,14,1,10.50%,36.80%,2.60%,322,48,161,18,14.90%,50.00%,5.60%,4417,510,1720,285,11.50%,38.90%,6.50%,7873,439,1605,1532,5.60%,20.40%,19.50%,43,3,12,2,7.00%,27.90%,4.70%,54,4,13,5,7.40%,24.10%,9.30%,339,50,339,18,14.70%,100.00%,5.30%,4766,539,1861,244,11.30%,39.00%,5.10%,9427,571,2396,1557,6.10%,25.40%,16.50%
8101,"Pueblo County, Colorado",   159063,10546,6.6%,38915,24.5%,24346,15.3%,3222,208,873,362,6.50%,27.10%,11.20%,1258,74,287,110,5.90%,22.80%,8.70%,5854,766,2406,406,13.10%,41.10%,6.90%,65811,6024,21094,6495,9.20%,32.10%,9.90%,86054,4053,15932,17140,4.70%,18.50%,19.90%,2685,181,725,312,6.70%,27.00%,11.60%,926,66,233,63,7.10%,25.20%,6.80%,4788,638,4389,391,13.30%,91.70%,8.20%,53710,4938,17621,5110,9.20%,32.80%,9.50%,81624,4173,17194,15728,5.10%,21.10%,19.30%
8103,"Rio Blanco County, Colorado",     6666,491,7.4%,1621,24.3%,827,12.4%,50,4,6,2,8.00%,12.00%,4.00%,22,2,6,3,9.10%,27.30%,13.60%,152,20,65,9,13.20%,42.80%,5.90%,665,74,241,29,11.10%,36.20%,4.40%,5756,392,1306,781,6.80%,22.70%,13.60%,11,0,0,1,0.00%,0.00%,9.10%,17,2,5,1,11.80%,29.40%,5.90%,104,10,98,7,9.60%,94.20%,6.70%,296,29,102,8,9.80%,34.50%,2.70%,5546,303,1438,650,5.50%,25.90%,11.70%
8105,"Rio Grande County, Colorado",    11982,792,6.6%,3025,25.2%,1945,16.2%,43,3,24,1,7.00%,55.80%,2.30%,42,0,10,4,0.00%,23.80%,9.50%,388,36,151,32,9.30%,38.90%,8.20%,5086,447,1632,524,8.80%,32.10%,10.30%,6600,327,1311,1392,5.00%,19.90%,21.10%,43,11,22,4,25.60%,51.20%,9.30%,28,2,4,6,7.10%,14.30%,21.40%,343,38,324,32,11.10%,94.50%,9.30%,5172,479,1835,478,9.30%,35.50%,9.20%,7022,373,1597,1320,5.30%,22.70%,18.80%
8107,"Routt County, Colorado",    23509,1304,5.5%,4909,20.9%,1909,8.1%,99,6,19,0,6.10%,19.20%,0.00%,150,6,38,7,4.00%,25.30%,4.70%,367,55,154,13,15.00%,42.00%,3.50%,1600,178,519,30,11.10%,32.40%,1.90%,21310,1082,4220,1856,5.10%,19.80%,8.70%,25,2,6,2,8.00%,24.00%,8.00%,76,7,18,0,9.20%,23.70%,0.00%,252,20,207,4,7.90%,82.10%,1.60%,634,44,183,20,6.90%,28.90%,3.20%,18662,1004,4173,962,5.40%,22.40%,5.20%
8109,"Saguache County, Colorado",     6108,420,6.9%,1416,23.2%,893,14.6%,14,3,6,0,21.40%,42.90%,0.00%,47,3,8,7,6.40%,17.00%,14.90%,172,18,62,21,10.50%,36.00%,12.20%,2452,248,778,226,10.10%,31.70%,9.20%,3446,157,577,636,4.60%,16.70%,18.50%,7,2,5,0,28.60%,71.40%,0.00%,27,0,8,0,0.00%,29.60%,0.00%,182,18,159,12,9.90%,87.40%,6.60%,2678,250,991,198,9.30%,37.00%,7.40%,3053,139,644,429,4.60%,21.10%,14.10%
8111,"San Juan County, Colorado",      699,36,5.2%,128,18.3%,86,12.3%,0,0,0,0,0.00%,0.00%,0.00%,8,1,1,0,12.50%,12.50%,0.00%,16,3,9,0,18.80%,56.30%,0.00%,84,6,30,5,7.10%,35.70%,6.00%,595,26,91,81,4.40%,15.30%,13.60%,0,0,0,0,0.00%,0.00%,0.00%,1,0,1,0,0.00%,100.00%,0.00%,5,0,2,0,0.00%,40.00%,0.00%,41,2,13,5,4.90%,31.70%,12.20%,509,24,98,34,4.70%,19.30%,6.70%
8113,"San Miguel County, Colorado",     7359,457,6.2%,1447,19.7%,517,7.0%,29,1,4,0,3.40%,13.80%,0.00%,53,1,9,2,1.90%,17.00%,3.80%,130,11,47,4,8.50%,36.20%,3.10%,630,67,184,14,10.60%,29.20%,2.20%,6514,378,1207,496,5.80%,18.50%,7.60%,19,1,1,1,5.30%,5.30%,5.30%,49,6,13,0,12.20%,26.50%,0.00%,73,3,58,2,4.10%,79.50%,2.70%,439,20,80,7,4.60%,18.20%,1.60%,5959,264,1036,211,4.40%,17.40%,3.50%
8115,"Sedgwick County, Colorado",     2379,122,5.1%,460,19.3%,569,23.9%,8,0,1,2,0.00%,12.50%,25.00%,17,0,1,6,0.00%,5.90%,35.30%,39,4,15,4,10.30%,38.50%,10.30%,289,27,88,37,9.30%,30.40%,12.80%,2036,94,362,520,4.60%,17.80%,25.50%,14,0,5,3,0.00%,35.70%,21.40%,21,1,4,11,4.80%,19.00%,52.40%,56,6,54,6,10.70%,96.40%,10.70%,314,35,116,32,11.10%,36.90%,10.20%,2376,118,496,560,5.00%,20.90%,23.60%
8117,"Summit County, Colorado",    27994,1551,5.5%,4884,17.4%,2158,7.7%,230,10,35,1,4.30%,15.20%,0.40%,278,13,54,12,4.70%,19.40%,4.30%,435,48,124,13,11.00%,28.50%,3.00%,3989,453,1258,45,11.40%,31.50%,1.10%,23158,1046,3464,2085,4.50%,15.00%,9.00%,160,5,14,1,3.10%,8.80%,0.60%,205,17,49,3,8.30%,23.90%,1.50%,495,28,397,2,5.70%,80.20%,0.40%,2306,213,551,20,9.20%,23.90%,0.90%,20411,994,3367,745,4.90%,16.50%,3.60%
8119,"Teller County, Colorado",    23350,1094,4.7%,4780,20.5%,3023,12.9%,110,5,20,14,4.50%,18.20%,12.70%,165,9,38,9,5.50%,23.00%,5.50%,578,72,239,26,12.50%,41.30%,4.50%,1294,130,462,52,10.00%,35.70%,4.00%,21148,884,4035,2910,4.20%,19.10%,13.80%,113,3,41,4,2.70%,36.30%,3.50%,120,10,32,8,8.30%,26.70%,6.70%,411,53,390,17,12.90%,94.90%,4.10%,718,66,269,28,9.20%,37.50%,3.90%,19102,1053,4808,1473,5.50%,25.20%,7.70%
8121,"Washington County, Colorado",     4814,274,5.7%,1125,23.4%,928,19.3%,30,1,1,0,3.30%,3.30%,0.00%,11,0,5,0,0.00%,45.50%,0.00%,73,13,35,4,17.80%,47.90%,5.50%,407,52,158,20,12.80%,38.80%,4.90%,4306,215,935,902,5.00%,21.70%,20.90%,2,0,0,0,0.00%,0.00%,0.00%,5,0,3,0,0.00%,60.00%,0.00%,42,8,39,4,19.00%,92.90%,9.50%,310,46,146,15,14.80%,47.10%,4.80%,4568,258,1145,878,5.60%,25.10%,19.20%
8123,"Weld County, Colorado",   252825,20001,7.9%,70401,27.8%,24235,9.6%,2473,215,698,82,8.70%,28.20%,3.30%,3022,206,742,215,6.80%,24.60%,7.10%,7432,1151,3482,269,15.50%,46.90%,3.60%,71680,8181,27818,3346,11.40%,38.80%,4.70%,170827,10880,39440,20362,6.40%,23.10%,11.90%,1022,78,322,27,7.60%,31.50%,2.60%,1508,91,291,144,6.00%,19.30%,9.50%,4797,716,4603,142,14.90%,96.00%,3.00%,48935,5803,18905,1793,11.90%,38.60%,3.70%,126573,7771,30531,14164,6.10%,24.10%,11.20%
8125,"Yuma County, Colorado",    10043,769,7.7%,2647,26.4%,1623,16.2%,18,0,7,0,0.00%,38.90%,0.00%,23,1,4,4,4.30%,17.40%,17.40%,108,13,53,5,12.00%,49.10%,4.60%,2088,260,862,48,12.50%,41.30%,2.30%,7824,499,1736,1562,6.40%,22.20%,20.00%,11,0,6,0,0.00%,54.50%,0.00%,7,0,2,1,0.00%,28.60%,14.30%,119,9,118,8,7.60%,99.20%,6.70%,1268,186,550,26,14.70%,43.40%,2.10%,8474,463,2192,1575,5.50%,25.90%,18.60%
