8001,363857
8003,14966
8005,487967
8007,9898
8009,4517
8011,5998
8013,291288
8014,
8015,16242
8017,2231
8019,9322
8021,8400
8023,3663
8025,5518
8027,3503
8029,27834
8031,554636
8033,1844
8035,175766
8037,41659
8039,19872
8041,516929
8043,46145
8045,43791
8047,4757
8049,12442
8051,13956
8053,790
8055,7862
8057,1577
8059,527056
8061,1622
8063,8011
8065,7812
8067,43941
8069,251494
8071,15207
8073,6087
8075,20504
8077,116255
8079,831
8081,13184
8083,23830
8085,33432
8087,27171
8089,20311
8091,3742
8093,14523
8095,4480
8097,14872
8099,14483
8101,141472
8103,5986
8105,12413
8107,19690
8109,5917
8111,558
8113,6594
8115,2747
8117,23548
8119,20555
8121,4926
8123,180936
8125,9841
