Geography Identifier,geography, median_age_all_races_2010, median_age_black_2010, median_age_asian_2010, median_age_two_or_more_races_2010, median_age_latino_2010, median_age_white_2010, med_age_all_races_2000, median_age_black_2000, median_age_asian_2000, median_age_two_or_more_races_2000, median_age_latino_2000, median_age_white_2000, change_in_median_age_all_races_2000, rate_of_change_in_median_age_all_races,     
8077,"Mesa County, Colorado",38.1,24.6,35.5,19.2,24.9,40,38.1,22.5,31,21.7,24.9,39.8,0.0%,63
8079,"Mineral County, Colorado",53.1,38.5,36.5,8,19.8,53.7,45,0,0,24.5,31.5,46,18.0%,8
8081,"Moffat County, Colorado",35.8,23,39.2,23.3,26,37.2,35.4,25.5,31.5,17.3,26.6,36.7,1.1%,60
8083,"Montezuma County, Colorado",42.9,24.5,35.8,17.2,28.2,47.1,38,30.5,41,17.9,26.8,41.6,12.9%,21
8085,"Montrose County, Colorado",42,28.7,38.4,20.1,25.5,45.2,38.8,24,29.3,21,24,41.7,8.2%,36
8087,"Morgan County, Colorado",36,23.5,35,18.8,24.1,40.1,33.5,20.2,36.9,19.3,22.6,40.2,7.5%,42
8089,"Otero County, Colorado",40.9,20.9,36.5,20.7,31.1,44.5,37.7,21,47,20.5,29,42.9,8.5%,35
8091,"Ouray County, Colorado",50,12.5,37.5,43.5,34,50.4,43.4,32.5,40.5,30,28.3,44.1,15.2%,15
8093,"Park County, Colorado",46.9,40.8,44.8,23.8,35.1,47.4,40,35.5,32,26.4,32.1,40.3,17.3%,11
8095,"Phillips County, Colorado",42.8,26,38.5,25,24.4,45.3,39.8,12.5,45,18.5,22.3,42.3,7.5%,40
8097,"Pitkin County, Colorado",42,31.5,42.3,28.7,30.9,42.8,38.4,27.3,35.3,29.1,27.1,39.7,9.4%,32
8099,"Prowers County, Colorado",36.7,20.5,26.5,18,25.4,40.1,32.4,21.3,34.5,18.1,23.1,38.9,13.3%,20
8101,"Pueblo County, Colorado",38.7,30.8,35.6,22.7,30.5,41.7,36.7,32.1,29.5,22.7,29.2,41.5,5.4%,51
8103,"Rio Blanco County, Colorado",38,21,34,21.5,25.5,39.4,37.5,27.5,26.5,21.5,26.4,38.2,1.3%,59
8105,"Rio Grande County, Colorado",41,16.5,41.5,24.7,31.5,44.1,37.3,15.5,42.5,23.8,28.5,43.1,9.9%,30
8107,"Routt County, Colorado",38.9,29.1,35,23.6,27.5,39.6,35,29.9,33.7,27.7,27.2,35.4,11.1%,27
8109,"Saguache County, Colorado",43.3,34,42.5,28,29.4,45,36.9,16.3,26.5,26,26.8,44.8,17.3%,10
8111,"San Juan County, Colorado",43.8,0,40.5,16,28,45.2,43.7,0,16.5,37.5,36.5,44.4,0.2%,62
8113,"San Miguel County, Colorado",39.3,39.2,40.5,28.5,28.8,40,34.2,38.5,27.2,32.6,27.7,35.3,14.9%,16
8115,"Sedgwick County, Colorado",49.2,51,53.8,26.5,31.3,50.2,43.2,44,65.5,24.5,29.3,44.7,13.9%,18
8117,"Summit County, Colorado",36.4,34.8,36.3,27.3,27.3,37.8,30.8,28.3,26.6,26.6,25,31.9,18.2%,7
8119,"Teller County, Colorado",47,38,41.9,24.7,29.3,47.6,39.4,31.3,32.8,20.5,29.3,39.9,19.3%,3
8121,"Washington County, Colorado",44.2,40,26.5,18.8,23.7,45.4,40.2,54.5,17.5,19.7,20.8,41.5,10.0%,29
8123,"Weld County, Colorado",33.1,24.4,31.3,19.3,24.4,35.1,30.9,21.9,26.6,19.6,23.5,35.4,7.1%,46
8125,"Yuma County, Colorado",38.5,22,41.3,18.3,23.5,41.2,37.3,16.5,35.5,22.8,21.2,40.4,3.2%,56
